excel_codigo,excel_nome,excel_endereco,excel_cidade,db,db_id,db_numero,db_nome,db_endereco,db_cidade,score,matched
29,OTICA ARCARI,"RUA TAMOIO, 627 SALA COMERCIAL",PATO BRANCO,WMS_BD\wms_database_test.mdb,28,29,OTICA ARCARI,"RUA TAMOIO, 627 SALA COMERCIAL",PATO BRANCO,1.0,True
29,OTICA ARCARI,"RUA TAMOIO, 627 SALA COMERCIAL",PATO BRANCO,WMS_BD\wms_database.mdb,25,29,OTICA ARCARI,"RUA TAMOIO, 627 SALA COMERCIAL",PATO BRANCO,1.0,True
29,OTICA ARCARI,"RUA TAMOIO, 627 SALA COMERCIAL",PATO BRANCO,WMS_Server\wms_database.mdb,20,29,OTICA ARCARI,"RUA TAMOIO, 627 SALA COMERCIAL",PATO BRANCO,1.0,True
30,OTICA PRECISAO - OTICA E RELOJOARIA ,"RUA CORONEL SAN THIAGO DANTAS, 4465 SALA ",CHOPINZINHO,WMS_BD\wms_database_test.mdb,530,30,OTICA PRECISAO - OTICA E RELOJOARIA,"RUA CORONEL SAN THIAGO DANTAS, 4465 SALA",CHOPINZINHO,1.0,True
30,OTICA PRECISAO - OTICA E RELOJOARIA ,"RUA CORONEL SAN THIAGO DANTAS, 4465 SALA ",CHOPINZINHO,WMS_BD\wms_database.mdb,26,30,OTICA PRECISAO - OTICA E RELOJOARIA,"RUA CORONEL SAN THIAGO DANTAS, 4465 SALA",CHOPINZINHO,1.0,True
30,OTICA PRECISAO - OTICA E RELOJOARIA ,"RUA CORONEL SAN THIAGO DANTAS, 4465 SALA ",CHOPINZINHO,WMS_Server\wms_database.mdb,21,30,OTICA PRECISAO - OTICA E RELOJOARIA,"RUA CORONEL SAN THIAGO DANTAS, 4465 SALA",CHOPINZINHO,1.0,True
31,OTICA PRISMA - PACIFICO BORGES DE ,"AV  XV DE NOVEMBRO, 298 SALA COMERCIAL",SAO JOAO,WMS_BD\wms_database_test.mdb,531,31,OTICA PRISMA - PACIFICO BORGES DE,"AV  XV DE NOVEMBRO, 298 SALA COMERCIAL",SAO JOAO,1.0,True
31,OTICA PRISMA - PACIFICO BORGES DE ,"AV  XV DE NOVEMBRO, 298 SALA COMERCIAL",SAO JOAO,WMS_BD\wms_database.mdb,27,31,OTICA PRISMA - PACIFICO BORGES DE,"AV  XV DE NOVEMBRO, 298 SALA COMERCIAL",SAO JOAO,1.0,True
31,OTICA PRISMA - PACIFICO BORGES DE ,"AV  XV DE NOVEMBRO, 298 SALA COMERCIAL",SAO JOAO,WMS_Server\wms_database.mdb,22,31,OTICA PRISMA - PACIFICO BORGES DE,"AV  XV DE NOVEMBRO, 298 SALA COMERCIAL",SAO JOAO,1.0,True
32,JOALHERIA E OTICA CONFIANCA - PASA & ,"AV  BRASIL, 611 SALA COMERCIAL",PALMITOS,WMS_BD\wms_database_test.mdb,922,32,JOALHERIA E OTICA CONFIANCA - PASA &,"AV  BRASIL, 611 SALA COMERCIAL",PALMITOS,1.0,True
32,JOALHERIA E OTICA CONFIANCA - PASA & ,"AV  BRASIL, 611 SALA COMERCIAL",PALMITOS,WMS_BD\wms_database.mdb,28,32,JOALHERIA E OTICA CONFIANCA - PASA &,"AV  BRASIL, 611 SALA COMERCIAL",PALMITOS,1.0,True
32,JOALHERIA E OTICA CONFIANCA - PASA & ,"AV  BRASIL, 611 SALA COMERCIAL",PALMITOS,WMS_Server\wms_database.mdb,23,32,JOALHERIA E OTICA CONFIANCA - PASA &,"AV  BRASIL, 611 SALA COMERCIAL",PALMITOS,1.0,True
33,OPTICA E RELOJOARIA MARAVILHA,"AV  SETE DE SETEMBRO, 173 SALA COMERCIAL",MARAVILHA,WMS_BD\wms_database_test.mdb,33,33,OPTICA E RELOJOARIA MARAVILHA,"AV  SETE DE SETEMBRO, 173 SALA COMERCIAL",MARAVILHA,1.0,True
33,OPTICA E RELOJOARIA MARAVILHA,"AV  SETE DE SETEMBRO, 173 SALA COMERCIAL",MARAVILHA,WMS_BD\wms_database.mdb,29,33,OPTICA E RELOJOARIA MARAVILHA,"AV  SETE DE SETEMBRO, 173 SALA COMERCIAL",MARAVILHA,1.0,True
33,OPTICA E RELOJOARIA MARAVILHA,"AV  SETE DE SETEMBRO, 173 SALA COMERCIAL",MARAVILHA,WMS_Server\wms_database.mdb,24,33,OPTICA E RELOJOARIA MARAVILHA,"AV  SETE DE SETEMBRO, 173 SALA COMERCIAL",MARAVILHA,1.0,True
34,OTICA KLC - RELOJOARIA E OPTICA ,"AV  SUL BRASIL, 534 SALA COMERCIAL",MARAVILHA,WMS_BD\wms_database_test.mdb,923,34,OTICA KLC - RELOJOARIA E OPTICA,"AV  SUL BRASIL, 534 SALA COMERCIAL",MARAVILHA,1.0,True
34,OTICA KLC - RELOJOARIA E OPTICA ,"AV  SUL BRASIL, 534 SALA COMERCIAL",MARAVILHA,WMS_BD\wms_database.mdb,30,34,OTICA KLC - RELOJOARIA E OPTICA,"AV  SUL BRASIL, 534 SALA COMERCIAL",MARAVILHA,1.0,True
34,OTICA KLC - RELOJOARIA E OPTICA ,"AV  SUL BRASIL, 534 SALA COMERCIAL",MARAVILHA,WMS_Server\wms_database.mdb,25,34,OTICA KLC - RELOJOARIA E OPTICA,"AV  SUL BRASIL, 534 SALA COMERCIAL",MARAVILHA,1.0,True
35,RELOJOARIA E OPTICA VATICANO,"RUA GUARANI, 460 SALA COMERCIAL",PATO BRANCO,WMS_BD\wms_database_test.mdb,35,35,RELOJOARIA E OPTICA VATICANO,"RUA GUARANI, 460 SALA COMERCIAL",PATO BRANCO,1.0,True
35,RELOJOARIA E OPTICA VATICANO,"RUA GUARANI, 460 SALA COMERCIAL",PATO BRANCO,WMS_BD\wms_database.mdb,31,35,RELOJOARIA E OPTICA VATICANO,"RUA GUARANI, 460 SALA COMERCIAL",PATO BRANCO,1.0,True
