WMS — Relatório de Período
Período,05/06/2026 até 05/06/2026
Gerado em,05/06/2026 09:49:15
Unidade,MASTER

RESUMO
Pedidos cadastrados no período,6
Pedidos retirados no período,3
Pedidos ativos no fechamento,556

=== A. CADASTRADOS NO PERÍODO ===
PEDIDO,CAIXA,POSIÇÃO,DATA PEDIDO,CADASTRADO EM,CADASTRADO POR,SETOR
10117147,20053,P-03-03,01/06/2026 07:24:17,4,AR
10116485,02332,P-03-03,01/06/2026 07:24:39,4,AR
10116431,01262,P-03-03,01/06/2026 07:25:04,4,AR
10116583,00209,P-03-03,01/06/2026 07:26:20,4,AR
10116257,02599,P-03-03,01/06/2026 07:28:53,4,AR
10116288,2576,P-03-03,01/06/2026 07:29:27,4,AR
10115825,00481,P-03-03,01/06/2026 07:29:53,4,AR
10113635,01340,P-03-03,01/06/2026 07:30:03,4,AR
10117067,01831,P-03-03,01/06/2026 07:30:39,4,AR
10116528,02733,P-03-03,01/06/2026 07:30:55,4,AR
10116143,01253,P-03-03,01/06/2026 07:31:08,4,AR
10116533,01515,P-01-06,01/06/2026 13:52:38,3,AR
10117380,02671,P-01-06,01/06/2026 13:53:00,3,AR
10117825,20108,P-01-06,01/06/2026 13:53:13,3,AR
10116525,00326,P-01-06,01/06/2026 13:53:26,3,AR
10117037,02040,P-01-06,01/06/2026 13:53:59,3,AR
10115773,01391,P-01-06,01/06/2026 13:54:12,3,AR
10116910,01524,P-01-05,01/06/2026 13:54:30,3,AR
10116444,02759,P-01-05,01/06/2026 13:54:45,3,AR
10117043,02367,P-01-05,01/06/2026 13:55:03,3,AR
10117415,2403,P-01-05,01/06/2026 13:55:15,3,AR
10116692,00462,P-01-05,01/06/2026 13:55:28,3,AR
10117168,01383,P-01-04,01/06/2026 13:55:57,3,AR
10116576,01358,P-01-04,01/06/2026 13:56:09,3,AR
10116452,01938,P-01-04,01/06/2026 13:56:19,3,AR
10116863,02675,P-01-04,01/06/2026 13:56:42,3,AR
10117824,2311,P-01-04,01/06/2026 13:56:54,3,AR
10117531,02313,P-01-04,01/06/2026 13:58:59,3,AR
10117563,02259,P-01-03,01/06/2026 13:59:19,3,AR
10117344,02765,P-01-03,01/06/2026 13:59:35,3,AR
10116981,00351,P-01-03,01/06/2026 13:59:49,3,AR
10117847,00386,P-01-03,01/06/2026 14:00:12,3,AR
10116211,01895,P-01-03,01/06/2026 14:00:24,3,AR
10116917,01535,P-01-03,01/06/2026 14:00:48,3,AR
10116233,01375,P-01-02,01/06/2026 14:01:02,3,AR
10115676,02306,P-01-02,01/06/2026 14:01:19,3,AR
10117546,02516,P-01-02,01/06/2026 14:09:21,3,AR
10116689,00468,P-01-02,01/06/2026 14:09:43,3,AR
10116237,01503,P-01-01,01/06/2026 14:10:04,3,AR
10115224,01344,P-01-01,01/06/2026 14:10:36,3,AR
10115271,01371,P-01-01,01/06/2026 14:10:50,3,AR
10116160,01940,P-01-01,01/06/2026 14:11:11,3,AR
10115603,1278,P-01-01,01/06/2026 14:11:36,3,AR
10116953,02692,P-01-01,01/06/2026 14:11:53,3,AR
10117080,20005,P-01-01,01/06/2026 14:12:10,3,AR
10115584,01272,P-01-01,01/06/2026 14:12:23,3,AR
10116912,1350,P-01-01,01/06/2026 14:12:39,3,AR
10117529,448,P-01-01,01/06/2026 14:18:04,3,AR
10117566,01442,P-02-06,01/06/2026 14:18:26,3,AR
10117442,02874,P-02-06,01/06/2026 14:21:13,3,AR
10117447,02741,P-02-06,01/06/2026 14:21:26,3,AR
10117851,02669,P-02-06,01/06/2026 14:21:37,3,AR
10116958,02372,P-02-06,01/06/2026 14:21:49,3,AR
10117815,00477,P-02-05,01/06/2026 14:22:02,3,AR
10116220,02251,P-02-05,01/06/2026 14:22:32,3,AR
10117759,02703,P-02-05,01/06/2026 14:22:45,3,AR
10117925,20145,P-02-05,01/06/2026 14:23:08,3,AR
10117887,01465,P-02-05,01/06/2026 14:23:20,3,AR
10113324,1867,P-02-04,01/06/2026 14:23:51,3,AR
10117924,01847,P-02-04,01/06/2026 14:24:04,3,AR
10116532,2557,P-02-04,01/06/2026 14:24:22,3,AR
10115669,02384,P-02-04,01/06/2026 14:27:54,3,AR
10113547,20107,P-02-04,01/06/2026 14:28:10,3,AR
10117814,02041,P-02-04,01/06/2026 14:28:26,3,AR
10117004,02735,P-02-03,01/06/2026 14:28:41,3,AR
10117898,20023,P-02-03,01/06/2026 14:29:01,3,AR
10115622,2555,P-02-03,01/06/2026 14:29:15,3,AR
10116252,0258,P-02-03,01/06/2026 14:29:32,3,AR
10117025,2541,P-02-03,01/06/2026 14:29:56,3,AR
10117088,01327,P-02-03,01/06/2026 14:30:13,3,AR
